2019-01-19 17:09:24,718 INFO #!/usr/bin/env python3
# -*- coding: utf-8 -*-
"""
Created on Thu Oct  4 20:24:20 2018

@author: sebastian
"""

#--------------------------------------------------------------------------------
#                                 PARAMETROS
#--------------------------------------------------------------------------------
#solo porque lo pide para inicializar el modelo
batch_size= 1
learning_rate = 0.001 
momentum= 0.9 #solo SGD
hayLabels= True 	# cuando no necesito labels
postprocesar= False  #aplicar postprocesamiento
cadaCuantas= 20

#%%   DATA
nombreData= "test"      #para leer, sin .npz
split= 1              #cuantos datos usar del modulo. 1= todo
cant_inferir= 1           #cantidad de modulos de inferir para cargar (solo cuando uso otros de train)
nameData= "testTodaWMasDatosLimpiar0.9Islas"            #para escribir, extra que se agrega al nombre para guardar (util para no sobreescribir)
tol= 0.25               #necesario para medir acc y jaccard
verGraficas= False

#%%   MASCARA       
#tipoDatos= "maskBordes"
#tipoDatos= "maskLineal"
tipoDatos= "maskCanales"

#%%   MODELO
pathModel= "../modelo/maskCanales_Adam_CrossEntropy_etapa2_best"               #path a modelo a cargar

# optim. (para cargar modelo)
tipoOptim= "Adam"
#tipoOptim= "Adadelta"
#tipoOptim= "SGD"

# loss
#tipoLoss= "BCE"
#tipoLoss= "BCEwLogits"
tipoLoss= "CrossEntropy"
#tipoLoss= "MSE"

2019-01-19 17:09:46,318 INFO Step [92/2688], Loss: 0.0323, Accuracy: 92.860, Jaccard: 92.094 %
2019-01-19 17:09:46,503 INFO Step [93/2688], Loss: 0.1402, Accuracy: 77.887, Jaccard: 67.815 %
2019-01-19 17:09:46,675 INFO Step [94/2688], Loss: 0.1320, Accuracy: 66.119, Jaccard: 64.741 %
2019-01-19 17:09:46,855 INFO Step [95/2688], Loss: 0.0589, Accuracy: 81.132, Jaccard: 77.864 %
2019-01-19 17:09:47,055 INFO Step [96/2688], Loss: 0.0500, Accuracy: 83.360, Jaccard: 72.773 %
2019-01-19 17:09:47,225 INFO Step [97/2688], Loss: 0.0007, Accuracy: 99.554, Jaccard: 99.008 %
2019-01-19 17:09:47,395 INFO Step [98/2688], Loss: 0.0015, Accuracy: 98.742, Jaccard: 97.506 %
2019-01-19 17:09:47,589 INFO Step [99/2688], Loss: 0.0029, Accuracy: 99.350, Jaccard: 97.539 %
2019-01-19 17:09:47,761 INFO Step [100/2688], Loss: 0.0024, Accuracy: 99.604, Jaccard: 99.058 %
2019-01-19 17:09:48,038 INFO Step [101/2688], Loss: 0.0014, Accuracy: 99.874, Jaccard: 98.303 %
2019-01-19 17:09:48,237 INFO Step [102/2688], Loss: 0.0006, Accuracy: 99.521, Jaccard: 98.924 %
2019-01-19 17:09:48,406 INFO Step [103/2688], Loss: 0.0008, Accuracy: 99.514, Jaccard: 98.812 %
2019-01-19 17:09:48,579 INFO Step [104/2688], Loss: 0.0006, Accuracy: 99.510, Jaccard: 99.169 %
2019-01-19 17:09:48,749 INFO Step [105/2688], Loss: 0.0011, Accuracy: 99.579, Jaccard: 99.217 %
2019-01-19 17:09:48,921 INFO Step [106/2688], Loss: 0.0016, Accuracy: 99.223, Jaccard: 97.865 %
2019-01-19 17:09:49,090 INFO Step [107/2688], Loss: 0.0008, Accuracy: 99.327, Jaccard: 98.677 %
2019-01-19 17:09:49,256 INFO Step [108/2688], Loss: 0.0016, Accuracy: 99.375, Jaccard: 98.838 %
2019-01-19 17:09:49,424 INFO Step [109/2688], Loss: 0.0427, Accuracy: 86.016, Jaccard: 82.220 %
2019-01-19 17:09:49,590 INFO Step [110/2688], Loss: 0.0108, Accuracy: 96.502, Jaccard: 93.363 %
2019-01-19 17:09:49,794 INFO Step [111/2688], Loss: 0.0585, Accuracy: 86.505, Jaccard: 84.749 %
2019-01-19 17:09:49,968 INFO Step [112/2688], Loss: 0.0156, Accuracy: 96.734, Jaccard: 92.713 %
2019-01-19 17:09:50,136 INFO Step [113/2688], Loss: 0.0059, Accuracy: 98.633, Jaccard: 95.768 %
2019-01-19 17:09:50,302 INFO Step [114/2688], Loss: 0.0064, Accuracy: 97.374, Jaccard: 95.893 %
2019-01-19 17:09:50,468 INFO Step [115/2688], Loss: 0.0171, Accuracy: 94.746, Jaccard: 92.867 %
2019-01-19 17:09:50,667 INFO Step [116/2688], Loss: 0.0350, Accuracy: 93.804, Jaccard: 84.197 %
2019-01-19 17:09:50,830 INFO Step [117/2688], Loss: 0.0017, Accuracy: 98.107, Jaccard: 96.211 %
2019-01-19 17:09:50,994 INFO Step [118/2688], Loss: 0.0008, Accuracy: 98.985, Jaccard: 97.969 %
2019-01-19 17:09:51,163 INFO Step [119/2688], Loss: 0.0011, Accuracy: 98.848, Jaccard: 97.060 %
